15145000,CROWN,CT,0,0,0,0,RACCOON,54223000,Twin Peaks
11305001,SAINT GERMAIN,AVE,1,37,2,36,TWIN PEAKS,54224000,Clarendon Heights
11305002,SAINT GERMAIN,AVE,39,99,38,98,54224000,GLENBROOK,Clarendon Heights
6720000,HARRISON,ST,901,923,900,922,05TH,MERLIN,South of Market
6721000,HARRISON,ST,925,949,924,950,MERLIN,OAK GROVE,South of Market
6722000,HARRISON,ST,951,973,952,978,OAK GROVE,MORRIS,South of Market
6723000,HARRISON,ST,975,999,980,998,MORRIS,06TH,South of Market
6724000,HARRISON,ST,1001,1023,1000,1010,06TH,HARRIET,South of Market
6725000,HARRISON,ST,1025,1047,1012,1034,HARRIET,COLUMBIA SQUARE,South of Market
6726000,HARRISON,ST,1049,1071,1036,1058,COLUMBIA SQUARE,SHERMAN,South of Market
6727000,HARRISON,ST,1073,1099,1060,1098,SHERMAN,07TH,South of Market
6728000,HARRISON,ST,1101,1107,1100,1108,07TH,I-80 W ON,South of Market
6728001,HARRISON,ST,1109,1111,1110,1122,I-80 W ON,LANGTON,South of Market
6729000,HARRISON,ST,1113,1125,1124,1144,LANGTON,CHESLEY,South of Market
6730000,HARRISON,ST,1127,1167,1146,1156,CHESLEY,BERWICK,South of Market
6642000,HAMILTON,ST,601,699,600,698,WOOLSEY,DWIGHT,Portola
6643000,HAMILTON,ST,901,999,900,998,MANSELL,DELTA,Visitacion Valley
6644000,HAMLIN,ST,1,99,2,98,GREEN,50199000,Russian Hill
6645000,HAMPSHIRE,ST,101,189,100,148,15TH,52182000,Inner Mission
6646000,HAMPSHIRE,ST,191,199,150,198,52182000,ALAMEDA,Inner Mission
6647000,HAMPSHIRE,ST,301,349,300,348,16TH,52183000,Inner Mission
6648000,HAMPSHIRE,ST,351,399,350,398,52183000,17TH,Inner Mission
6649000,HAMPSHIRE,ST,401,499,400,498,17TH,MARIPOSA,Inner Mission
6650000,HAMPSHIRE,ST,501,599,500,598,MARIPOSA,18TH,Inner Mission
6651000,HAMPSHIRE,ST,601,699,600,698,18TH,19TH,Inner Mission
6652000,HAMPSHIRE,ST,701,799,700,798,19TH,20TH,Inner Mission
6653000,HAMPSHIRE,ST,801,899,800,898,20TH,21ST,Inner Mission
6654000,HAMPSHIRE,ST,901,999,900,998,21ST,22ND,Inner Mission
6655000,HAMPSHIRE,ST,1001,1099,1000,1098,22ND,23RD,Inner Mission
6656000,HAMPSHIRE,ST,1101,1199,1100,1198,23RD,24TH,Inner Mission
6657000,HAMPSHIRE,ST,1201,1299,1200,1298,24TH,25TH,Inner Mission
6658000,HAMPSHIRE,ST,1301,1431,1300,1398,25TH,26TH,Inner Mission
6659000,HAMPSHIRE,ST,1433,1499,1400,1498,26TH,CESAR CHAVEZ ON,Inner Mission
6660000,HAMPSHIRE,ST,1501,1599,1500,1598,CESAR CHAVEZ ON,PERALTA,Bernal Heights North
6661000,HANCOCK,ST,1,99,2,98,CHURCH,SANCHEZ,Eureka Valley - Dolores Height
6662000,HANCOCK,ST,101,199,100,198,SANCHEZ,NOE,Eureka Valley - Dolores Height
6663000,HANOVER,ST,1,29,2,28,POPE,UNNAMED 069,Crocker Amazon
6664000,HANOVER,ST,31,99,30,98,UNNAMED 069,ALLISON,Crocker Amazon
6665000,HANOVER,ST,101,117,100,148,ALLISON,UNNAMED 068,Crocker Amazon
6666000,HANOVER,ST,119,199,150,194,UNNAMED 068,WATT,Crocker Amazon
6667000,HANOVER,ST,201,209,196,198,WATT,CONCORD,Crocker Amazon
6668000,HANOVER,ST,211,299,200,298,CONCORD,GUTTENBERG,Crocker Amazon
6669000,HANOVER,ST,301,399,300,398,GUTTENBERG,LOWELL,Crocker Amazon
6670000,HANOVER,ST,401,499,400,498,LOWELL,WHITTIER,Crocker Amazon
6671000,HARBOR,RD,1,299,2,298,NORTHRIDGE,INGALLS,Hunters Point
6672000,HARBOR,RD,301,399,300,398,INGALLS,BERTHA,Hunters Point
6673000,HARDIE,PL,1,99,2,98,KEARNY,50228000,Financial District North
6674000,HARDING,RD,1,99,2,98,SKYLINE,51165000,Lakeshore
126000,02ND,AVE,700,798,701,799,CABRILLO,FULTON,Inner Richmond
127000,02ND,AVE,1200,1248,1201,1247,LINCOLN,HUGO,Inner Sunset
128000,02ND,AVE,1250,1298,1249,1299,HUGO,IRVING,Inner Sunset
129000,02ND,ST,1,35,2,34,MARKET,STEVENSON,Financial District South
130000,02ND,ST,37,67,36,68,STEVENSON,JESSIE,Financial District South
131000,02ND,ST,69,99,70,98,JESSIE,MISSION,Financial District South
132000,02ND,ST,101,129,100,130,MISSION,MINNA,Financial District South
133000,02ND,ST,131,163,132,164,MINNA,NATOMA,Financial District South
134000,02ND,ST,165,199,166,198,NATOMA,HOWARD,Financial District South
135000,02ND,ST,201,227,200,222,HOWARD,TEHAMA,Financial District South
136000,02ND,ST,229,273,224,244,TEHAMA,CLEMENTINA,Financial District South
137000,02ND,ST,275,299,246,298,CLEMENTINA,FOLSOM,Financial District South
6687000,HARLAN,PL,101,199,100,198,GRANT,50221000,Financial District North
6688000,HARLEM,ALY,1,99,2,98,OFARRELL,50271000,Downtown - Tenderloin
6689000,HARLOW,ST,1,99,2,98,16TH,50688000,Eureka Valley - Dolores Height
6690000,HARNEY,WAY,1,99,2,98,JAMESTOWN,EXECUTIVE PARK,Bayview Heights
6691000,HARNEY,WAY,101,199,100,198,EXECUTIVE PARK,ALANA,Bayview Heights
6692000,HARNEY,WAY,201,299,200,298,ALANA,50852000,Bayview Heights
6693000,HAROLD,AVE,1,99,2,98,51092000,GRAFTON,Ingleside
6694000,HAROLD,AVE,101,199,100,182,GRAFTON,HOLLOWAY,Ingleside
6695000,HAROLD,AVE,201,219,184,198,HOLLOWAY,BRUCE,Ingleside
6696000,HAROLD,AVE,221,299,200,298,BRUCE,OCEAN,Ingleside
6697000,HARPER,ST,1,75,2,58,30TH,RANDALL,Glen Park
6698000,HARPER,ST,77,99,60,98,RANDALL,LAIDLEY,Glen Park
6699000,HARRIET,ST,1,99,2,98,HOWARD,FOLSOM,South of Market
6700000,HARRIET,ST,101,199,100,198,FOLSOM,HARRISON,South of Market
6701000,HARRIET,ST,201,241,200,270,HARRISON,AHERN,South of Market
6702000,HARRIET,ST,243,299,272,298,AHERN,BRYANT,Mission Bay
6703000,HARRIET,ST,301,399,300,398,BRYANT,BRANNAN,Mission Bay
6704000,HARRIET,ST,401,499,400,498,BRANNAN,50006000,Mission Bay
6705000,HARRINGTON,ST,1,99,2,98,MISSION,ALEMANY,Mission Terrace
6706000,HARRIS,PL,1,99,2,98,50291000,LAGUNA,Cow Hollow
6707000,HARRISON,ST,1,99,2,98,THE EMBARCADERO,SPEAR,South Beach
6708000,HARRISON,ST,101,199,100,198,SPEAR,MAIN,South Beach
6709000,HARRISON,ST,201,299,200,298,MAIN,BEALE,South Beach
6710000,HARRISON,ST,301,399,300,398,BEALE,FREMONT,South Beach
6711000,HARRISON,ST,401,499,400,498,FREMONT,01ST,South Beach
6712000,HARRISON,ST,501,549,500,548,01ST,ESSEX,Financial District South
6713000,HARRISON,ST,551,599,550,598,ESSEX,02ND,Financial District South
6714000,HARRISON,ST,601,621,600,622,02ND,VASSAR,Financial District South
6715000,HARRISON,ST,623,645,624,646,VASSAR,HAWTHORNE,Financial District South
6716000,HARRISON,ST,647,699,648,698,HAWTHORNE,03RD,Financial District South
6717000,HARRISON,ST,701,733,700,730,03RD,LAPU-LAPU,Financial District South
6718000,HARRISON,ST,735,799,732,798,LAPU-LAPU,I-80 W ON,Financial District South
6719000,HARRISON,ST,801,899,800,898,I-80 W ON,05TH,Financial District South
172000,03RD,ST,401,431,400,432,HARRISON,PERRY,Financial District South
173000,03RD,ST,433,465,434,466,PERRY,STILLMAN,Financial District South
174000,03RD,ST,467,499,468,498,STILLMAN,BRYANT,Financial District South
175000,03RD,ST,501,511,500,508,BRYANT,TABER,Financial District South
176000,03RD,ST,513,549,510,546,TABER,SOUTH PARK,Financial District South
177000,03RD,ST,551,575,548,586,SOUTH PARK,VARNEY,Financial District South
178000,03RD,ST,577,599,588,598,VARNEY,BRANNAN,Financial District South
179000,03RD,ST,601,699,600,698,BRANNAN,TOWNSEND,Mission Bay
180000,03RD,ST,701,799,700,798,TOWNSEND,KING,Mission Bay
181000,03RD,ST,801,899,800,898,KING,BERRY,Mission Bay
182000,03RD,ST,901,949,900,948,BERRY,CHANNEL,Mission Bay
183000,03RD,ST,951,999,950,998,CHANNEL,TERRY A FRANCOIS,Mission Bay
1e+05,01ST,ST,1,19,2,34,MARKET,STEVENSON,Financial District South
101000,01ST,ST,21,47,36,56,STEVENSON,JESSIE,Financial District South
102000,01ST,ST,49,71,58,70,JESSIE,ELIM,Financial District South
103000,01ST,ST,73,99,72,98,ELIM,MISSION,Financial District South
104001,01ST,ST,101,113,100,114,MISSION,TRANSBAY HUMP,Financial District South
104002,01ST,ST,115,133,116,134,TRANSBAY HUMP,MINNA,Financial District South
105000,01ST,ST,135,163,136,164,MINNA,NATOMA,Financial District South
106000,01ST,ST,165,199,166,198,NATOMA,HOWARD,Financial District South
107000,01ST,ST,201,231,200,230,HOWARD,TEHAMA,Financial District South
108001,01ST,ST,233,243,232,274,TEHAMA,CLEMENTINA,Financial District South
110000,01ST,ST,245,299,276,298,CLEMENTINA,FOLSOM,Financial District South
111000,01ST,ST,301,331,300,336,FOLSOM,GUY,Financial District South
112000,01ST,ST,301,363,338,360,GUY,LANSING,Financial District South
113000,01ST,ST,365,399,362,398,LANSING,HARRISON,Financial District South
114000,01ST,ST,401,449,400,450,HARRISON,50034000,Financial District South
115001,DELANCEY,ST,501,549,500,548,BRYANT,FEDERAL,South Beach
116001,DELANCEY,ST,551,569,550,568,FEDERAL,BAYSIDE VILLAGE,South Beach
116002,DELANCEY,ST,571,599,570,598,BAYSIDE VILLAGE,BRANNAN,South Beach
